Sales Person,Country,Product,Date,Month, Amount ,Boxes Shipped
Husein Augar,Australia,Manuka Honey Choco,15/Mar/2022,March,"$7,161 ",92
Madelene Upcott,USA,Eclairs,18/Mar/2022,March,"$8,883 ",200
Brien Boise,India,Eclairs,29/Apr/2022,April,"$1,351 ",61
Mallorie Waber,New Zealand,White Choc,25/Feb/2022,February,"$3,171 ",246
Husein Augar,USA,Milk Bars,03/Feb/2022,February,$854 ,56
Van Tuxwell,Australia,Milk Bars,20/Jun/2022,June,"$7,910 ",87
Beverie Moffet,Canada,White Choc,15/Jul/2022,July,"$9,275 ",173
Dotty Strutley,Australia,50% Dark Bites,05/Dec/2022,December,"$3,108 ",252
Mallorie Waber,New Zealand,Organic Choco Syrup,07/Jan/2022,January,"$5,075 ",256
Husein Augar,USA,85% Dark Bars,08/Aug/2022,August,$378 ,54
Madelene Upcott,Australia,50% Dark Bites,25/Jul/2022,July,"$7,350 ",6
Wilone O'Kielt,UK,Drinking Coco,18/May/2022,May,"$3,388 ",55
Camilla Castle,India,Peanut Butter Cubes,15/Jul/2022,July,"$11,837 ",277
Curtice Advani,India,70% Dark Bites,07/May/2022,May,"$2,282 ",44
Mallorie Waber,USA,Manuka Honey Choco,07/Apr/2022,April,"$5,425 ",96
Dotty Strutley,UK,70% Dark Bites,20/Jun/2022,June,"$1,267 ",216
Gunar Cockshoot,Australia,Almond Choco,25/Jan/2022,January,"$3,752 ",424
Kaine Padly,New Zealand,Spicy Special Slims,07/Jan/2022,January,"$7,728 ",37
Gigi Bohling,USA,50% Dark Bites,13/Apr/2022,April,"$2,296 ",59
Beverie Moffet,UK,Smooth Sliky Salty,05/Apr/2022,April,"$4,403 ",76
Beverie Moffet,Australia,Baker's Choco Chips,08/Apr/2022,April,"$3,192 ",109
Beverie Moffet,India,70% Dark Bites,06/Jan/2022,January,$448 ,146
Jehu Rudeforth,UK,Choco Coated Almonds,22/Apr/2022,April,"$4,270 ",185
Kaine Padly,USA,50% Dark Bites,08/Mar/2022,March,$70 ,27
Ches Bonnell,USA,Orange Choco,06/Oct/2022,October,"$1,743 ",69
Gunar Cockshoot,UK,Manuka Honey Choco,27/Jun/2022,June,"$6,762 ",46
Marney O'Breen,Australia,Smooth Sliky Salty,01/Mar/2022,March,"$3,745 ",170
Marney O'Breen,India,After Nines,07/Nov/2022,November,"$2,639 ",179
Ches Bonnell,New Zealand,Milk Bars,17/Aug/2022,August,"$4,389 ",126
Rafaelita Blaksland,USA,Fruit & Nut Bars,18/Jan/2022,January,"$2,604 ",65
Ches Bonnell,India,Organic Choco Syrup,03/Aug/2022,August,"$16,569 ",99
Mallorie Waber,Australia,Orange Choco,03/Jul/2022,July,"$14,658 ",275
Husein Augar,India,70% Dark Bites,05/Sep/2022,September,"$6,454 ",157
Barr Faughny,New Zealand,85% Dark Bars,23/May/2022,May,"$2,100 ",157
Madelene Upcott,UK,Caramel Stuffed Bars,15/Apr/2022,April,$161 ,145
Gigi Bohling,Australia,Drinking Coco,27/Jul/2022,July,"$2,807 ",139
Marney O'Breen,Canada,Choco Coated Almonds,22/Aug/2022,August,"$2,639 ",406
Ches Bonnell,USA,70% Dark Bites,05/Nov/2022,November,"$4,571 ",122
Madelene Upcott,India,Organic Choco Syrup,26/Jan/2022,January,"$4,781 ",38
Barr Faughny,USA,50% Dark Bites,14/Apr/2022,April,"$13,034 ",117
Dennison Crosswaite,New Zealand,Mint Chip Choco,04/May/2022,May,"$6,454 ",417
Marney O'Breen,New Zealand,Smooth Sliky Salty,14/Jun/2022,June,"$8,484 ",57
Brien Boise,Canada,Almond Choco,13/Apr/2022,April,"$4,781 ",125
Beverie Moffet,Australia,White Choc,27/Jun/2022,June,"$2,240 ",166
Dotty Strutley,Australia,Eclairs,26/Jan/2022,January,"$6,979 ",3
Barr Faughny,UK,White Choc,07/May/2022,May,"$1,652 ",72
Beverie Moffet,Canada,Baker's Choco Chips,01/Nov/2022,November,"$13,447 ",95
Kelci Walkden,USA,White Choc,03/Jul/2022,July,"$9,422 ",22
Kaine Padly,Canada,50% Dark Bites,03/Apr/2022,April,"$8,687 ",100
Karlen McCaffrey,Canada,Organic Choco Syrup,15/Jul/2022,July,"$2,415 ",312
Kaine Padly,UK,Peanut Butter Cubes,05/Nov/2022,November,"$6,272 ",86
Karlen McCaffrey,USA,Milk Bars,27/Jan/2022,January,"$4,389 ",7
Karlen McCaffrey,India,Orange Choco,27/Jun/2022,June,"$3,122 ",149
Ches Bonnell,India,Smooth Sliky Salty,08/Mar/2022,March,"$8,043 ",18
Wilone O'Kielt,New Zealand,Mint Chip Choco,19/Aug/2022,August,"$11,662 ",242
Wilone O'Kielt,Australia,Fruit & Nut Bars,15/Jun/2022,June,$392 ,102
Dennison Crosswaite,UK,Peanut Butter Cubes,02/Jul/2022,July,"$8,925 ",158
Karlen McCaffrey,Australia,Almond Choco,07/Aug/2022,August,"$7,294 ",128
Dennison Crosswaite,India,Milk Bars,21/Apr/2022,April,"$1,526 ",96
Ches Bonnell,UK,Mint Chip Choco,04/Aug/2022,August,"$2,688 ",209
Husein Augar,Australia,50% Dark Bites,19/Aug/2022,August,"$14,889 ",52
Jan Morforth,India,Fruit & Nut Bars,05/Apr/2022,April,"$2,912 ",55
Mallorie Waber,USA,85% Dark Bars,05/Nov/2022,November,"$2,632 ",108
Mallorie Waber,USA,Eclairs,22/Mar/2022,March,"$6,328 ",51
Dennison Crosswaite,Canada,Spicy Special Slims,08/Oct/2022,October,"$2,527 ",216
Dennison Crosswaite,USA,Fruit & Nut Bars,05/Apr/2022,April,"$1,414 ",318
Kelci Walkden,USA,99% Dark & Pure,18/Aug/2022,August,"$7,714 ",238
Dotty Strutley,Canada,Raspberry Choco,08/Mar/2022,March,"$4,347 ",238
Marney O'Breen,New Zealand,Milk Bars,14/Jan/2022,January,"$7,490 ",315
Madelene Upcott,Australia,Choco Coated Almonds,04/Aug/2022,August,"$2,058 ",72
Kelci Walkden,UK,Orange Choco,08/Jan/2022,January,"$3,640 ",3
Dennison Crosswaite,Canada,Eclairs,15/Mar/2022,March,$455 ,45
Karlen McCaffrey,India,Mint Chip Choco,15/Jul/2022,July,"$10,990 ",184
Barr Faughny,New Zealand,Almond Choco,13/Jan/2022,January,"$5,558 ",127
Mallorie Waber,Australia,85% Dark Bars,26/Aug/2022,August,"$2,541 ",53
Ches Bonnell,Canada,Eclairs,01/Oct/2022,October,"$1,876 ",172
Gigi Bohling,Australia,White Choc,05/Nov/2022,November,"$5,523 ",87
Beverie Moffet,New Zealand,85% Dark Bars,30/Aug/2022,August,"$11,200 ",22
Kaine Padly,USA,Caramel Stuffed Bars,21/Jul/2022,July,"$5,593 ",122
Mallorie Waber,Australia,Almond Choco,08/Jan/2022,January,"$7,882 ",125
Brien Boise,Canada,85% Dark Bars,17/Feb/2022,February,"$10,241 ",259
Brien Boise,Australia,Drinking Coco,27/Jul/2022,July,"$6,832 ",156
Dotty Strutley,USA,Orange Choco,23/Feb/2022,February,"$1,379 ",107
Rafaelita Blaksland,Australia,50% Dark Bites,22/Mar/2022,March,"$3,010 ",40
Dennison Crosswaite,India,99% Dark & Pure,23/Jun/2022,June,"$6,888 ",311
Curtice Advani,UK,White Choc,02/Jan/2022,January,"$1,540 ",73
Kelci Walkden,Australia,After Nines,03/Feb/2022,February,"$6,916 ",288
Gigi Bohling,UK,Fruit & Nut Bars,04/Jun/2022,June,"$1,232 ",86
Gunar Cockshoot,Australia,Raspberry Choco,17/Mar/2022,March,$602 ,72
Curtice Advani,UK,Fruit & Nut Bars,24/Jun/2022,June,"$10,927 ",136
Barr Faughny,Canada,50% Dark Bites,19/Jul/2022,July,"$10,185 ",303
Curtice Advani,USA,Spicy Special Slims,07/Nov/2022,November,"$1,603 ",264
Brien Boise,India,Almond Choco,13/Jan/2022,January,"$2,170 ",218
Oby Sorrel,New Zealand,Smooth Sliky Salty,07/Jul/2022,July,"$8,673 ",60
Jan Morforth,India,85% Dark Bars,25/May/2022,May,"$4,760 ",418
Marney O'Breen,India,Fruit & Nut Bars,13/Apr/2022,April,"$4,753 ",151
Andria Kimpton,New Zealand,50% Dark Bites,03/Feb/2022,February,"$3,374 ",202
Gunar Cockshoot,Canada,Raspberry Choco,23/Jun/2022,June,"$2,058 ",126
Kelci Walkden,USA,Drinking Coco,26/Jul/2022,July,"$6,454 ",160
Van Tuxwell,Canada,White Choc,22/Mar/2022,March,$420 ,3
Rafaelita Blaksland,USA,Baker's Choco Chips,06/Sep/2022,September,"$2,863 ",58
Van Tuxwell,Australia,Caramel Stuffed Bars,17/May/2022,May,"$5,936 ",59
